brand,search_term,avg_interest_global_last_month
sweet years,shoes sweet years,15.574074074074074
anekke,shoes anekke,3.537037037037037
camper,shoes camper,51.370370370370374
wildling,shoes wildling,34.22222222222222
zegna,shoes zegna,47.53703703703704
bikkembergs,shoes bikkembergs,14.87037037037037
dada,shoes dada,53.370370370370374
zéro cent cinq,shoes zéro cent cinq,1.8518518518518519
joules,shoes joules,31.85185185185185
gant,shoes gant,62.05555555555556
jacadi,shoes jacadi,11.425925925925926
veja,shoes veja,64.64814814814815
versace,shoes versace,32.666666666666664
jammers,shoes jammers,37.03703703703704
ganni,shoes ganni,58.75925925925926
abra,shoes abra,18.01851851851852
canguro,shoes canguro,2.4074074074074074
louis vuitton,shoes louis vuitton,19.685185185185187
kennel & schmenger,shoes kennel & schmenger,2.1481481481481484
kappa,shoes kappa,60.98148148148148
liu jo,shoes liu jo,22.833333333333332
philipp plein,shoes philipp plein,35.72222222222222
c&a,shoes c&a,32.22222222222222
primadonna,shoes primadonna,28.22222222222222
runfit,shoes runfit,1.9814814814814814
refresh,shoes refresh,20.98148148148148
tendance,shoes tendance,35.46296296296296
"ps, poelman","shoes ps, poelman",0.0
freddy,shoes freddy,30.5
arc'teryx,shoes arc'teryx,21.12962962962963
everlast,shoes everlast,29.14814814814815
candice cooper,shoes candice cooper,3.2962962962962963
solo soprani,shoes solo soprani,1.8518518518518519
basile,shoes basile,3.240740740740741
cristianzerotre,shoes cristianzerotre,2.3333333333333335
bacio & bacio,shoes bacio & bacio,0.0
sandro,shoes sandro,51.907407407407405
woden,shoes woden,59.5
steitz secura,shoes steitz secura,1.8518518518518519
navigare,shoes navigare,2.5555555555555554
smr23,shoes smr23,1.9814814814814814
